evaluations raw_y current_y raw_y_best current_y_best
1 16399730.2970692031085491 16399520.4170692022889853 16399730.2970692031085491 16399520.4170692022889853
2 5916597.7484903754666448 5916387.8684903755784035 5916597.7484903754666448 5916387.8684903755784035
3 2455671.7838133294135332 2455461.9038133295252919 2455671.7838133294135332 2455461.9038133295252919
4 5158576.0574050210416317 5158366.1774050211533904 2455671.7838133294135332 2455461.9038133295252919
5 27196712.7190076038241386 27196502.8390076048672199 2455671.7838133294135332 2455461.9038133295252919
6 2291.1356124134731544 2081.2556124134730453 2291.1356124134731544 2081.2556124134730453
7 18798723.1703385561704636 18798513.2903385572135448 2291.1356124134731544 2081.2556124134730453
8 540276.0919116244185716 540066.2119116244139150 2291.1356124134731544 2081.2556124134730453
9 232729.8445104378042743 232519.9645104377996176 2291.1356124134731544 2081.2556124134730453
10 181744.3846943277749233 181534.5046943277702667 2291.1356124134731544 2081.2556124134730453
11 365082.4884503517532721 364872.6084503517486155 2291.1356124134731544 2081.2556124134730453
12 20757.6752864597947337 20547.7952864597937150 2291.1356124134731544 2081.2556124134730453
13 4061262.5461206212639809 4061052.6661206213757396 2291.1356124134731544 2081.2556124134730453
14 484313.9001104345661588 484104.0201104345615022 2291.1356124134731544 2081.2556124134730453
15 530795.1979175094747916 530585.3179175094701350 2291.1356124134731544 2081.2556124134730453
16 702354.5720202954253182 702144.6920202954206616 2291.1356124134731544 2081.2556124134730453
17 1107279.8434946229681373 1107069.9634946230798960 2291.1356124134731544 2081.2556124134730453
18 1569711.9195821355096996 1569502.0395821356214583 2291.1356124134731544 2081.2556124134730453
19 127621.5947538371983683 127411.7147538371937117 2291.1356124134731544 2081.2556124134730453
20 474364.9067933143815026 474155.0267933143768460 2291.1356124134731544 2081.2556124134730453
21 433548.5028683769633062 433338.6228683769586496 2291.1356124134731544 2081.2556124134730453
22 414813.9408708505216055 414604.0608708505169488 2291.1356124134731544 2081.2556124134730453
23 380393.6601511571207084 380183.7801511571160518 2291.1356124134731544 2081.2556124134730453
24 328602.4085236512473784 328392.5285236512427218 2291.1356124134731544 2081.2556124134730453
25 262328.2359559188480489 262118.3559559188433923 2291.1356124134731544 2081.2556124134730453
26 217875.9960326923464891 217666.1160326923418324 2291.1356124134731544 2081.2556124134730453
27 460075.1404158321092837 459865.2604158321046270 2291.1356124134731544 2081.2556124134730453
28 176476.3117632112698629 176266.4317632112652063 2291.1356124134731544 2081.2556124134730453
29 164166.7667582137801219 163956.8867582137754653 2291.1356124134731544 2081.2556124134730453
30 158066.2456786090624519 157856.3656786090577953 2291.1356124134731544 2081.2556124134730453
31 153635.3584439391270280 153425.4784439391223714 2291.1356124134731544 2081.2556124134730453
32 392786.6128260478144512 392576.7328260478097945 2291.1356124134731544 2081.2556124134730453
33 149049.6495503975020256 148839.7695503974973690 2291.1356124134731544 2081.2556124134730453
34 141881.4712229145225137 141671.5912229145178571 2291.1356124134731544 2081.2556124134730453
35 133059.8143810945912264 132849.9343810945865698 2291.1356124134731544 2081.2556124134730453
36 11320.9761772470737924 11111.0961772470745927 2291.1356124134731544 2081.2556124134730453
37 48253.1249382707464974 48043.2449382707491168 2291.1356124134731544 2081.2556124134730453
38 2343312.5930975545197725 2343102.7130975546315312 2291.1356124134731544 2081.2556124134730453
39 31459.0839297040438396 31249.2039297040428210 2291.1356124134731544 2081.2556124134730453
40 488675.8535375631763600 488465.9735375631717034 2291.1356124134731544 2081.2556124134730453
