evaluations raw_y current_y raw_y_best current_y_best
1 8699891.2382146045565605 8699681.3582146037369967 8699891.2382146045565605 8699681.3582146037369967
2 20380053.3615254461765289 20379843.4815254472196102 8699891.2382146045565605 8699681.3582146037369967
3 30822643.3936166316270828 30822433.5136166326701641 8699891.2382146045565605 8699681.3582146037369967
4 13909619.4266756828874350 13909409.5466756820678711 8699891.2382146045565605 8699681.3582146037369967
5 50217703.2064138352870941 50217493.3264138326048851 8699891.2382146045565605 8699681.3582146037369967
6 57473977.3150855898857117 57473767.4350855872035027 8699891.2382146045565605 8699681.3582146037369967
7 15532356.8373979963362217 15532146.9573979955166578 8699891.2382146045565605 8699681.3582146037369967
8 9645650.7068241983652115 9645440.8268241975456476 8699891.2382146045565605 8699681.3582146037369967
9 33742615.2037093415856361 33742405.3237093389034271 8699891.2382146045565605 8699681.3582146037369967
10 47009648.0908167958259583 47009438.2108167931437492 8699891.2382146045565605 8699681.3582146037369967
11 29430664.9701187685132027 29430455.0901187695562840 8699891.2382146045565605 8699681.3582146037369967
12 46930056.6380966901779175 46929846.7580966874957085 8699891.2382146045565605 8699681.3582146037369967
13 29071194.5924251750111580 29070984.7124251760542393 8699891.2382146045565605 8699681.3582146037369967
14 20195810.3735586255788803 20195600.4935586266219616 8699891.2382146045565605 8699681.3582146037369967
15 23812266.5665832087397575 23812056.6865832097828388 8699891.2382146045565605 8699681.3582146037369967
16 45849210.9745659083127975 45849001.0945659056305885 8699891.2382146045565605 8699681.3582146037369967
17 30438269.8642640262842178 30438059.9842640273272991 8699891.2382146045565605 8699681.3582146037369967
18 25335524.7659067064523697 25335314.8859067074954510 8699891.2382146045565605 8699681.3582146037369967
19 36021355.3158008903264999 36021145.4358008876442909 8699891.2382146045565605 8699681.3582146037369967
20 39834412.5442912951111794 39834202.6642912924289703 8699891.2382146045565605 8699681.3582146037369967
21 45971544.1578195095062256 45971334.2778195068240166 8699891.2382146045565605 8699681.3582146037369967
22 50191971.4343195408582687 50191761.5543195381760597 8699891.2382146045565605 8699681.3582146037369967
23 23983942.3012632504105568 23983732.4212632514536381 8699891.2382146045565605 8699681.3582146037369967
24 9545446.8805653154850006 9545237.0005653146654367 8699891.2382146045565605 8699681.3582146037369967
25 11546059.8163665607571602 11545849.9363665599375963 8699891.2382146045565605 8699681.3582146037369967
26 26335153.9027786627411842 26334944.0227786637842655 8699891.2382146045565605 8699681.3582146037369967
27 11789257.9230717271566391 11789048.0430717263370752 8699891.2382146045565605 8699681.3582146037369967
28 22477228.4710065312683582 22477018.5910065323114395 8699891.2382146045565605 8699681.3582146037369967
29 17017745.2977644726634026 17017535.4177644737064838 8699891.2382146045565605 8699681.3582146037369967
30 21046269.1581971794366837 21046059.2781971804797649 8699891.2382146045565605 8699681.3582146037369967
